season,teams,superflex,mc_points,greedy_points,adp_points
2022,14,0,1580.7679999999998,1573.4900000000002,1098.73
2022,14,0,1562.9679999999998,1532.35,1463.548
2022,14,0,1581.2079999999999,1505.4099999999999,1190.23
2022,14,0,1545.4979999999998,1566.9499999999998,1145.6200000000001
2022,14,0,1640.4260000000002,1559.148,1511.368
2022,14,0,1605.238,1588.828,1379.206
2022,14,0,1586.4060000000004,1566.018,1503.632
2022,14,0,1565.848,1519.4899999999998,1338.4479999999999
2022,14,0,1529.6979999999999,1552.9180000000001,1493.078
2022,14,0,1540.5579999999998,1565.7779999999998,1541.7680000000003
2022,14,0,1612.4460000000001,1511.71,1514.804
2022,14,0,1522.4479999999999,1576.7599999999998,1466.958
2022,14,0,1557.7359999999999,1553.238,1415.062
2022,14,0,1594.1879999999999,1545.27,1205.68
2022,14,0,1517.708,1519.4899999999998,1370.6200000000001
2022,14,0,1518.9979999999998,1589.5799999999997,1130.3200000000002
2022,14,0,1499.2079999999999,1556.1599999999999,1485.3980000000001
2022,14,0,1502.1680000000001,1574.01,1499.666
2022,14,0,1568.656,1508.4700000000003,1553.908
2022,14,0,1544.238,1590.4699999999998,1461.078
2022,14,1,1851.6480000000001,1786.8519999999999,1725.7520000000002
2022,14,1,1839.126,1857.6459999999997,1747.9179999999997
2022,14,1,1802.0320000000002,1826.9260000000004,1777.7759999999998
2022,14,1,1784.81,1797.2759999999996,1646.738
2022,14,1,1813.26,1793.6619999999998,1754.1579999999997
2022,14,1,1841.772,1804.636,1733.0419999999997
2022,14,1,1821.132,1830.374,1629.8560000000002
2022,14,1,1857.758,1857.0699999999997,1642.378
2022,14,1,1836.784,1814.8439999999998,1599.0539999999999
2022,14,1,1851.806,1735.8459999999998,1791.0579999999998
2022,14,1,1806.78,1833.1560000000002,1672.5639999999999
2022,14,1,1849.066,1768.852,1774.0059999999999
2022,14,1,1847.54,1834.94,1751.9859999999999
2022,14,1,1804.35,1737.516,1683.5279999999998
2022,14,1,1792.186,1854.2640000000001,1769.95
2022,14,1,1751.536,1803.692,1726.258
2022,14,1,1826.824,1839.982,1655.418
2022,14,1,1880.48,1759.8559999999998,1669.148
2022,14,1,1846.8260000000002,1773.634,1503.9600000000003
2022,14,1,1839.644,1830.2139999999997,1599.536
2022,14,1,1794.064,1829.738,1706.2160000000003
2022,14,1,1894.1979999999999,1834.7800000000002,1440.93
2022,14,1,1810.052,1843.5699999999997,1667.192
2022,14,1,1816.194,1844.504,1482.4699999999998
2022,14,1,1845.8380000000002,1872.8139999999999,1789.8099999999997
2022,14,1,1868.6380000000001,1830.698,1736.8319999999999
2022,14,1,1835.182,1859.112,1678.9099999999999
2022,14,1,1883.458,1825.5999999999997,1725.0040000000001
2022,14,1,1802.442,1815.34,1509.9160000000002
2022,14,1,1860.034,1797.9319999999998,1777.358
2022,14,1,1848.5979999999997,1743.0659999999998,1761.8059999999998
